iter	Passed	Remaining
0	5	290
1	7	180
2	10	164
3	12	146
4	14	133
5	17	124
6	18	116
7	20	109
8	22	104
9	24	97
10	26	94
11	28	91
12	31	90
13	33	87
14	35	82
15	37	79
16	39	76
17	41	74
18	43	70
19	45	67
20	47	65
21	48	61
22	50	59
23	52	56
24	54	54
25	55	51
26	57	49
27	59	47
28	62	44
29	64	42
30	66	40
31	68	38
32	70	36
33	71	33
34	73	31
35	75	29
36	76	26
37	79	25
38	81	23
39	84	21
40	86	18
41	88	16
42	90	14
43	92	12
44	93	10
45	96	8
46	98	6
47	100	4
48	102	2
49	103	0
